Load Cell (N), Distance, Time
0, 0, 15:07:34
0, 0, 15:07:34
0, 0, 15:07:34
0, 0, 15:07:34
0, 0, 15:07:34
57.53719409400001,  323.03, 15:07:35
58.43311000200001,  322.99, 15:07:36
58.401133326,  322.91, 15:07:37
58.44494478600001,  323.66, 15:07:38
58.429013346,  323.90, 15:07:39
58.414561254,  323.94, 15:07:40
Load Cell (N), Distance, Time
0, 0, 15:08:36
0, 0, 15:08:36
0, 0, 15:08:36
0, 0, 15:08:36
0, 0, 15:08:36
62.574715422,  323.54, 15:08:37
64.00900020600001,  323.27, 15:08:38
63.976568346,  322.95, 15:08:39
63.99011007000001,  322.95, 15:08:40
64.009682982,  321.61, 15:08:41
63.96507495,  322.68, 15:08:42
Load Cell (N), Distance, Time
0, 0, 15:09:33
0, 0, 15:09:33
0, 0, 15:09:33
0, 0, 15:09:33
0, 0, 15:09:33
73.150247601,  324.53, 15:09:34
80.538160563,  325.43, 15:09:35
80.344334583,  328.03, 15:09:36
80.72831956499999,  326.14, 15:09:37
Load Cell (N), Distance, Time
0, 0, 15:10:14
0, 0, 15:10:14
0, 0, 15:10:14
0, 0, 15:10:14
0, 0, 15:10:14
70.085701701,  327.05, 15:10:15
76.53696371100001,  326.22, 15:10:17
76.787889777,  328.50, 15:10:17
76.337899191,  327.72, 15:10:18
76.78003196700001,  328.11, 15:10:19
76.594063797,  326.14, 15:10:21
Load Cell (N), Distance, Time
0, 0, 15:11:23
0, 0, 15:11:23
0, 0, 15:11:23
0, 0, 15:11:23
0, 0, 15:11:24
45.010906137000006,  325.04, 15:11:24
49.280316237,  325.59, 15:11:26
49.41704213100001,  324.41, 15:11:27
49.311747477000004,  325.39, 15:11:28
49.48881012900001,  323.90, 15:11:29
Load Cell (N), Distance, Time
0, 0, 15:14:40
0, 0, 15:14:41
0, 0, 15:14:41
0, 0, 15:14:41
0, 0, 15:14:41
73.65733827300001,  323.11, 15:14:42
81.12906787500002,  324.61, 15:14:43
81.142164225,  323.66, 15:14:44
81.246935025,  323.70, 15:14:45
81.35065811700001,  323.15, 15:14:46
81.296177301,  324.06, 15:14:47
81.018534681,  323.94, 15:14:48
Load Cell (N), Distance, Time
Load Cell (N), Distance, Time
0, 0, 15:15:21
0, 0, 15:15:21
0, 0, 15:15:21
0, 0, 15:15:21
0, 0, 15:15:21
72.122446053,  323.23, 15:15:22
79.07136936300002,  324.06, 15:15:23
79.33853490300001,  324.84, 15:15:24
79.24686045300001,  323.35, 15:15:25
79.27724398500001,  324.84, 15:15:26
79.228525563,  326.38, 15:15:27
Load Cell (N), Distance, Time
0, 0, 15:16:13
0, 0, 15:16:13
0, 0, 15:16:13
0, 0, 15:16:13
0, 0, 15:16:14
68.31490252500001,  324.45, 15:16:14
74.049826563,  324.29, 15:16:15
74.12254220700001,  324.41, 15:16:16
74.10875130900001,  325.12, 15:16:17
74.07281139300001,  324.02, 15:16:19
Load Cell (N), Distance, Time
0, 0, 15:16:53
0, 0, 15:16:53
0, 0, 15:16:53
0, 0, 15:16:53
0, 0, 15:16:53
46.85375780099999,  323.31, 15:16:54
50.515450173,  324.37, 15:16:55
50.510435300999994,  324.06, 15:16:56
50.507927865000006,  323.39, 15:16:57
Load Cell (N), Distance, Time
0, 0, 15:21:11
0, 0, 15:21:11
0, 0, 15:21:11
0, 0, 15:21:11
0, 0, 15:21:11
46.065587085,  324.57, 15:21:12
49.323164355,  327.28, 15:21:13
49.436834787,  325.00, 15:21:14
49.414267863000006,  325.16, 15:21:15
49.516654833000004,  325.24, 15:21:16
Load Cell (N), Distance, Time
0, 0, 15:23:00
0, 0, 15:23:00
0, 0, 15:23:00
0, 0, 15:23:01
0, 0, 15:23:01
68.36463333900001,  322.09, 15:23:02
74.465225127,  322.99, 15:23:02
74.292629949,  322.76, 15:23:04
74.234541015,  323.27, 15:23:05
74.40630038100001,  322.44, 15:23:06
Load Cell (N), Distance, Time
0, 0, 15:30:12
0, 0, 15:30:12
0, 0, 15:30:12
0, 0, 15:30:12
0, 0, 15:30:12
82.11208088699999,  346.18, 15:30:13
88.14455399699999,  345.28, 15:30:14
88.00455548699999,  344.96, 15:30:15
88.127419851,  344.76, 15:30:16
88.211418957,  345.83, 15:30:17
88.185090879,  345.67, 15:30:18
Load Cell (N), Distance, Time
0, 0, 15:31:17
0, 0, 15:31:17
0, 0, 15:31:17
0, 0, 15:31:17
0, 0, 15:31:17
81.39153442499999,  347.32, 15:31:18
87.268469985,  347.01, 15:31:19
87.392066175,  347.36, 15:31:20
87.284921355,  347.40, 15:31:21
87.307278345,  347.48, 15:31:22
87.291248805,  345.35, 15:31:23
Load Cell (N), Distance, Time
0, 0, 15:31:57
0, 0, 15:31:57
0, 0, 15:31:57
0, 0, 15:31:57
0, 0, 15:31:57
82.985047281,  347.91, 15:31:58
89.417764467,  345.28, 15:31:59
89.29472156100002,  347.24, 15:32:00
89.452676295,  349.06, 15:32:01
89.362842201,  346.50, 15:32:02
89.238096279,  347.76, 15:32:03
89.51866816500002,  345.75, 15:32:04
Load Cell (N), Distance, Time
0, 0, 15:33:08
0, 0, 15:33:08
0, 0, 15:33:08
0, 0, 15:33:09
0, 0, 15:33:09
59.695026219,  347.83, 15:33:09
62.999303013,  346.22, 15:33:10
63.108296037,  348.03, 15:33:12
62.99163944100001,  350.47, 15:33:12
63.035066349000004,  348.86, 15:33:14
63.12575195100001,  349.69, 15:33:15
62.994619719,  348.35, 15:33:16
62.937568683,  349.45, 15:33:17
63.101909727,  348.62, 15:33:18
62.97716380500001,  348.39, 15:33:19
63.278171883000006,  350.12, 15:33:20
63.078919011,  349.57, 15:33:21
62.92862784900001,  347.68, 15:33:22
Load Cell (N), Distance, Time
0, 0, 15:34:05
0, 0, 15:34:05
0, 0, 15:34:05
0, 0, 15:34:05
0, 0, 15:34:05
59.906339505000005,  347.76, 15:34:06
63.517353416999995,  345.94, 15:34:07
63.54442313100001,  349.06, 15:34:08
63.637233579,  345.39, 15:34:09
63.591687711000006,  348.50, 15:34:10
Load Cell (N), Distance, Time
0, 0, 15:35:10
0, 0, 15:35:10
0, 0, 15:35:10
0, 0, 15:35:10
0, 0, 15:35:10
79.636293909,  347.05, 15:35:11
85.384526193,  348.54, 15:35:12
85.07429867700002,  348.35, 15:35:13
85.10437613700002,  348.15, 15:35:14
85.20234272100001,  347.91, 15:35:15
84.942817209,  348.62, 15:35:16
85.07043157499999,  348.62, 15:35:17
84.746454363,  347.72, 15:35:18
84.740868549,  347.44, 15:35:19
Load Cell (N), Distance, Time
0, 0, 15:36:39
0, 0, 15:36:39
0, 0, 15:36:39
0, 0, 15:36:39
0, 0, 15:36:39
85.260458142,  347.40, 15:36:40
92.21041935000001,  347.56, 15:36:41
92.33749809000001,  349.57, 15:36:42
92.40377837400001,  346.77, 15:36:43
92.46956030999999,  348.74, 15:36:44
92.431685862,  346.50, 15:36:45
92.25277893,  346.06, 15:36:46
92.55976129800001,  346.65, 15:36:47
Load Cell (N), Distance, Time
0, 0, 15:37:35
0, 0, 15:37:35
0, 0, 15:37:35
0, 0, 15:37:36
0, 0, 15:37:36
82.85754671100001,  348.19, 15:37:36
89.03203919100001,  348.19, 15:37:37
88.97610453300003,  348.15, 15:37:38
89.23539852900002,  349.25, 15:37:39
